Date,Blat_ panificable,Blat_dur,Ordi_pinso,Ordi_malta,Blat_moro
2022-01-03,294.43,538.24,285.57,290.9,279.02
2022-01-10,292.5,535.48,285.0,290.86,279.45
2022-01-17,291.83,538.24,282.84,289.72,279.29
2022-01-24,293.09,535.48,284.73,290.46,280.54
2022-01-31,289.77,527.69,283.54,288.79,280.5
2022-02-07,289.53,527.69,282.51,287.83,280.46
2022-02-14,289.22,522.17,282.29,287.6,280.91
2022-02-21,289.66,522.17,282.55,287.8,280.92
2022-02-28,335.96,515.0,323.82,333.89,350.29
2022-03-07,385.75,520.0,372.94,380.48,398.71
2022-03-14,383.94,512.47,376.33,380.75,391.54
2022-03-21,383.97,512.47,377.8,380.96,387.3
2022-03-28,372.65,512.47,366.29,372.55,380.64
2022-04-04,369.14,512.47,360.04,368.93,372.39
2022-04-11,368.99,512.47,358.37,367.17,369.71
2022-04-18,370.8,512.47,360.57,369.45,371.27
2022-04-25,371.79,512.47,361.63,370.08,370.57
2022-05-02,370.11,512.47,362.11,370.32,370.93
2022-05-09,377.86,505.05,363.37,372.19,371.69
2022-05-16,394.59,505.05,378.88,384.08,381.68
2022-05-23,394.59,510.0,377.93,384.88,383.88
2022-05-30,390.28,514.95,368.4,378.46,383.13
2022-06-06,388.69,520.95,363.56,370.68,379.48
2022-06-13,387.43,527.14,361.4,367.71,379.89
2022-06-20,386.17,537.16,358.43,364.99,380.19
2022-06-27,376.33,534.4,349.46,356.97,374.27
2022-07-04,363.02,531.46,334.26,341.91,365.22
2022-07-11,358.62,510.72,312.21,341.97,364.94
2022-07-18,355.42,499.38,327.82,336.31,361.01
2022-07-25,351.81,494.6,327.7,335.84,353.08
2022-08-01,350.6,493.18,320.25,316.26,352.15
2022-08-08,328.43,490.39,317.04,309.91,350.7
2022-08-15,353.97,490.39,325.96,327.07,351.63
2022-08-22,354.09,497.95,328.11,325.58,348.97
2022-08-29,354.33,497.95,329.96,327.13,348.21
2022-09-05,354.52,497.95,329.21,329.13,346.41
2022-09-12,357.91,450.0,331.23,328.38,346.13
2022-09-19,359.5,450.0,334.55,329.42,344.05
2022-09-26,362.39,484.24,337.53,332.82,345.34
2022-10-03,367.29,487.95,344.96,335.83,346.18
2022-10-10,372.42,496.09,349.34,341.1,349.38
2022-10-17,373.9,495.74,351.98,344.87,349.15
2022-10-24,373.33,496.92,353.14,345.04,349.4
2022-10-31,373.99,497.95,353.25,349.35,351.07
2022-11-07,372.29,494.71,351.5,347.14,348.05
2022-11-14,363.88,495.74,342.12,342.79,341.2
2022-11-21,354.91,491.11,333.48,334.98,335.79
2022-11-28,346.06,479.2,324.82,331.32,328.94
2022-12-05,338.82,471.86,320.99,326.96,322.49
2022-12-12,328.92,458.38,313.46,321.63,317.99
2022-12-19,324.13,455.33,310.7,312.18,315.1
2022-12-26,330.48,455.33,313.66,314.36,318.05
2023-01-02,332.88,460.0,315.16,320.46,321.09
2023-01-09,330.96,455.31,313.25,319.09,317.48
2023-01-16,326.79,454.07,309.02,315.72,314.56
2023-01-23,321.65,420.0,301.62,309.0,311.25
2023-01-30,320.51,420.0,299.35,307.88,310.69
2023-02-06,321.35,420.0,299.01,307.01,310.3
2023-02-13,323.54,393.14,300.57,309.11,312.5
2023-02-20,322.43,389.95,300.45,308.79,311.57
