Date,GPRD,GPRD_MA7
2022-01-01 00:00:00-0500,"63,10","72,33"
2022-01-02 00:00:00-0500,"37,86","71,49"
2022-01-03 00:00:00-0500,"52,34","67,70"
2022-01-04 00:00:00-0500,"88,96","72,00"
2022-01-05 00:00:00-0500,"96,48","80,37"
2022-01-06 00:00:00-0500,"70,01","69,34"
2022-01-07 00:00:00-0500,"118,96","75,39"
2022-01-08 00:00:00-0500,"38,28","71,84"
2022-01-09 00:00:00-0500,"63,70","75,53"
2022-01-10 00:00:00-0500,"130,01","86,63"
2022-01-11 00:00:00-0500,"188,91","100,91"
2022-01-12 00:00:00-0500,"78,21","98,30"
2022-01-13 00:00:00-0500,"170,65","112,67"
2022-01-14 00:00:00-0500,"133,57","114,76"
2022-01-15 00:00:00-0500,"71,06","119,44"
2022-01-16 00:00:00-0500,"46,01","116,92"
2022-01-17 00:00:00-0500,"109,27","113,95"
2022-01-18 00:00:00-0500,"138,82","106,80"
2022-01-19 00:00:00-0500,"153,56","117,56"
2022-01-20 00:00:00-0500,"136,37","112,67"
2022-01-21 00:00:00-0500,"185,75","120,12"
2022-01-22 00:00:00-0500,"145,81","130,80"
2022-01-23 00:00:00-0500,"106,86","139,49"
2022-01-24 00:00:00-0500,"185,80","150,43"
2022-01-25 00:00:00-0500,"291,58","172,25"
2022-01-26 00:00:00-0500,"260,34","187,50"
2022-01-27 00:00:00-0500,"265,01","205,88"
2022-01-28 00:00:00-0500,"182,23","205,38"
2022-01-29 00:00:00-0500,"217,44","215,61"
2022-01-30 00:00:00-0500,"63,53","209,42"
2022-01-31 00:00:00-0500,"142,99","203,30"
2022-02-01 00:00:00-0500,"190,59","188,87"
2022-02-02 00:00:00-0500,"250,32","187,44"
2022-02-03 00:00:00-0500,"176,29","174,77"
2022-02-04 00:00:00-0500,"92,57","161,96"
2022-02-05 00:00:00-0500,"47,57","137,69"
2022-02-06 00:00:00-0500,"78,25","139,80"
2022-02-07 00:00:00-0500,"195,15","147,25"
2022-02-08 00:00:00-0500,"158,39","142,65"
2022-02-09 00:00:00-0500,"117,18","123,63"
2022-02-10 00:00:00-0500,"108,54","113,95"
2022-02-11 00:00:00-0500,"179,28","126,34"
2022-02-12 00:00:00-0500,"131,99","138,40"
2022-02-13 00:00:00-0500,"118,00","144,08"
2022-02-14 00:00:00-0500,"191,89","143,61"
2022-02-15 00:00:00-0500,"229,06","153,70"
2022-02-16 00:00:00-0500,"223,47","168,89"
2022-02-17 00:00:00-0500,"228,45","186,02"
2022-02-18 00:00:00-0500,"226,35","192,74"
2022-02-19 00:00:00-0500,"140,16","193,91"
2022-02-20 00:00:00-0500,"83,28","188,95"
2022-02-21 00:00:00-0500,"152,37","183,31"
2022-02-22 00:00:00-0500,"279,43","190,50"
2022-02-23 00:00:00-0500,"431,02","220,15"
2022-02-24 00:00:00-0500,"370,70","240,47"
2022-02-25 00:00:00-0500,"515,89","281,84"
2022-02-26 00:00:00-0500,"398,59","318,76"
2022-02-27 00:00:00-0500,"202,09","335,73"
2022-02-28 00:00:00-0500,"452,62","378,62"
2022-03-01 00:00:00-0500,"540,83","415,96"
2022-03-02 00:00:00-0500,"523,52","429,18"
2022-03-03 00:00:00-0500,"436,82","438,62"
2022-03-04 00:00:00-0500,"350,07","414,94"
2022-03-05 00:00:00-0500,"322,36","404,05"
2022-03-06 00:00:00-0500,"197,62","403,41"
2022-03-07 00:00:00-0500,"362,31","390,51"
2022-03-08 00:00:00-0500,"352,11","363,55"
2022-03-09 00:00:00-0500,"295,31","330,94"
2022-03-10 00:00:00-0500,"352,40","318,88"
2022-03-11 00:00:00-0500,"410,33","327,49"
2022-03-12 00:00:00-0500,"298,71","324,11"
2022-03-13 00:00:00-0500,"181,01","321,74"
2022-03-14 00:00:00-0500,"350,11","320,00"
2022-03-15 00:00:00-0500,"311,88","314,25"
2022-03-16 00:00:00-0500,"473,22","339,67"
2022-03-17 00:00:00-0500,"290,33","330,80"
2022-03-18 00:00:00-0500,"285,32","312,94"
2022-03-19 00:00:00-0500,"175,89","295,39"
2022-03-20 00:00:00-0500,"130,76","288,21"
2022-03-21 00:00:00-0500,"227,74","270,73"
2022-03-22 00:00:00-0500,"244,84","261,16"
2022-03-23 00:00:00-0500,"267,47","231,76"
2022-03-24 00:00:00-0500,"317,01","235,58"
2022-03-25 00:00:00-0500,"350,74","244,92"
2022-03-26 00:00:00-0500,"275,09","259,09"
2022-03-27 00:00:00-0500,"189,29","267,46"
2022-03-28 00:00:00-0500,"281,92","275,20"
2022-03-29 00:00:00-0500,"233,36","273,56"
2022-03-30 00:00:00-0500,"233,51","268,70"
2022-03-31 00:00:00-0500,"254,81","259,82"
2022-04-01 00:00:00-0500,"188,16","236,59"
2022-04-02 00:00:00-0500,"188,16","224,17"
2022-04-03 00:00:00-0500,"239,78","231,39"
2022-04-04 00:00:00-0500,"163,02","214,40"
2022-04-05 00:00:00-0500,"212,42","211,41"
2022-04-06 00:00:00-0500,"175,75","203,16"
2022-04-07 00:00:00-0500,"243,42","201,53"
2022-04-08 00:00:00-0500,"219,48","206,00"
2022-04-09 00:00:00-0500,"178,67","204,65"
2022-04-10 00:00:00-0500,"148,98","191,67"
2022-04-11 00:00:00-0500,"195,23","196,28"
2022-04-12 00:00:00-0500,"226,25","198,25"
2022-04-13 00:00:00-0500,"258,88","210,13"
2022-04-14 00:00:00-0500,"265,66","213,30"
2022-04-15 00:00:00-0500,"168,44","206,01"
2022-04-16 00:00:00-0500,"166,67","204,30"
2022-04-17 00:00:00-0500,"151,43","204,65"
2022-04-18 00:00:00-0500,"218,63","207,99"
2022-04-19 00:00:00-0500,"213,52","206,17"
2022-04-20 00:00:00-0500,"189,61","196,28"
2022-04-21 00:00:00-0500,"128,26","176,65"
2022-04-22 00:00:00-0500,"246,80","187,85"
2022-04-23 00:00:00-0500,"134,42","183,24"
2022-04-24 00:00:00-0500,"50,45","168,81"
2022-04-25 00:00:00-0500,"246,90","172,85"
2022-04-26 00:00:00-0500,"160,54","165,28"
2022-04-27 00:00:00-0500,"186,70","164,87"
2022-04-28 00:00:00-0500,"176,38","171,74"
2022-04-29 00:00:00-0500,"148,94","157,76"
2022-04-30 00:00:00-0500,"168,44","162,62"
2022-05-01 00:00:00-0500,"66,92","164,97"
2022-05-02 00:00:00-0500,"96,67","143,51"
2022-05-03 00:00:00-0500,"157,47","143,07"
2022-05-04 00:00:00-0500,"163,45","139,75"
2022-05-05 00:00:00-0500,"144,70","135,23"
2022-05-06 00:00:00-0500,"174,07","138,82"
2022-05-07 00:00:00-0500,"97,72","128,71"
2022-05-08 00:00:00-0500,"98,48","133,22"
2022-05-09 00:00:00-0500,"150,87","140,97"
2022-05-10 00:00:00-0500,"143,25","138,93"
2022-05-11 00:00:00-0500,"176,38","140,78"
2022-05-12 00:00:00-0500,"158,26","142,72"
2022-05-13 00:00:00-0500,"162,08","141,00"
2022-05-14 00:00:00-0500,"83,80","139,02"
2022-05-15 00:00:00-0500,"77,84","136,07"
2022-05-16 00:00:00-0500,"168,75","138,62"
2022-05-17 00:00:00-0500,"174,62","143,11"
2022-05-18 00:00:00-0500,"165,90","141,61"
2022-05-19 00:00:00-0500,"162,38","142,20"
2022-05-20 00:00:00-0500,"140,96","139,18"
2022-05-21 00:00:00-0500,"124,22","144,95"
2022-05-22 00:00:00-0500,"75,10","144,56"
2022-05-23 00:00:00-0500,"150,31","141,93"
2022-05-24 00:00:00-0500,"222,36","148,75"
2022-05-25 00:00:00-0500,"155,10","147,20"
2022-05-26 00:00:00-0500,"134,57","143,23"
2022-05-27 00:00:00-0500,"155,52","145,31"
2022-05-28 00:00:00-0500,"118,48","144,49"
2022-05-29 00:00:00-0500,"76,05","144,63"
2022-05-30 00:00:00-0500,"115,82","139,70"
2022-05-31 00:00:00-0500,"190,31","135,12"
